user_id,num_following,num_followers,num_tweets,len_of_screen_name,len_of_profile_description,num_following_changes,is_spam
16013690,43,32,43,5,65,689,-1
100012004,661,506,126,9,83,1122,1
64311165,1489,626,10,13,132,1149,1
137656748,1206,967,7,15,0,1149,1
6611022,111,121,2612,9,57,689,-1
19795938,134,178,1022,12,11,919,-1
54534995,0,467,13916,8,0,459,-1
42806946,243,155,2708,11,133,919,-1
15807796,91,159,1416,12,0,919,-1
107064359,801,296,47,11,157,1048,1
140045493,568,17,0,8,0,919,1
51903158,26,21,164,12,0,689,-1
89394708,93,65,423,9,90,919,-1
45093424,16,48,4740,8,70,689,-1
101957963,1027,308,327,11,84,1149,1
47886543,808,473,1613,4,114,919,-1
104780093,691,133,6,8,0,960,1
15807700,223,273,4943,5,62,919,-1
88962049,23,18,169,12,77,689,-1
21080683,609,302,19,9,0,919,1
46652113,54,83,1629,12,0,689,-1
103719124,265,172,1450,13,115,919,1
87656328,1,1,30,8,0,459,-1
64350940,5115,5085,4283,13,133,1089,1
125444820,1309,75,14,10,0,927,1
85766239,43,80,171,11,6,689,-1
47539622,156,150,2818,13,0,919,-1
60273805,676,145,0,8,0,919,1
63187048,59,11,27,9,0,992,-1
72230072,73,71,682,9,0,919,-1
61356555,931,735,335,10,0,919,-1
15766583,72,135,1644,7,87,689,-1
6510982,1232,2494,20235,11,105,919,-1
52244397,50,66,744,9,0,689,-1
14920301,313,276,1851,9,60,919,-1
91974018,11,3,7,12,0,689,-1
26782812,4959,4564,2843,13,0,1149,1
89458052,4,4,16,11,0,459,-1
70655359,2688,2540,15154,14,157,1149,1
143055884,335,38,0,9,0,919,1
136504778,1329,628,524,11,0,1149,1
34511523,133,204,1410,10,16,710,-1
19824444,18019,17757,31703,10,108,1379,1
142780788,33,3,123,15,0,689,1
115382361,96,4,3,14,0,913,1
78831249,154,125,784,7,91,919,1
42609272,452,310,402,9,104,919,1
160848733,108,4,3,12,7,919,1
25169114,28,29,319,15,43,689,-1
108181009,51,0,7,14,0,689,1
100234966,1919,393,111,10,0,1149,1
96891745,1497,927,1398,8,79,1149,1
18285464,11450,11676,11096,14,90,1379,1
8240772,624,645,5397,4,67,1149,-1
20525097,177,354,3240,12,46,919,-1
22171157,8340,8087,2695,7,158,1149,1
78933366,271,58,13,10,67,435,1
40584607,58,18,9,5,0,689,-1
53670872,834,379,370,10,0,1149,-1
128924404,348,226,0,14,100,919,1
20623331,84,63,551,7,73,919,-1
20859313,35,246,800,7,69,689,-1
59114280,5727,5311,7811,7,159,1149,1
12386392,683,1409,15785,13,56,919,-1
16674081,11,8,132,7,0,689,-1
96320197,9140,8686,2300,10,49,1243,1
6116332,49,64,533,6,10,878,-1
101247079,1854,957,1929,14,132,1149,1
45349973,46,2,24,9,0,689,1
66742854,144,88,417,8,15,919,-1
82942643,358,34,43,15,0,1005,1
31217166,73,102,1060,11,135,919,-1
60352085,84,96,1312,13,0,919,-1
19506379,144,279,4917,15,45,919,-1
18848207,89,110,1122,11,63,919,-1
102695129,377,11,1,15,0,133,1
33438750,96,92,327,9,0,919,-1
26880598,4,8396,4379,8,140,459,-1
43059005,135,162,3453,6,64,919,-1
16147980,233,283,10828,9,81,919,-1
114931123,531,218,0,11,15,935,1
25872569,34,21,306,14,74,919,-1
120699797,243,96,1,7,0,926,1
73516489,19132,18859,184,11,0,1379,1
153716753,50,0,0,15,22,910,1
14807604,122,148,573,10,136,919,-1
111485414,962,2,0,11,26,919,1
32667541,1805,1154,598,10,0,1149,1
18587104,10379,10043,15746,13,68,1379,1
50548306,72,16,64,10,0,919,-1
15141638,347,326,5893,8,130,919,-1
76431523,58,55,173,11,0,689,-1
21877189,221,119,289,9,89,919,1
17691143,8716,8763,4692,14,154,1149,1
38630739,13,11,704,13,84,689,-1
130624989,241,26,6,12,59,1134,1
74813724,21,13,5,12,0,689,-1
60901628,12,162,1645,14,0,689,-1
50398876,22,38,3009,13,81,689,-1
146236608,1864,339,400,14,0,1149,1
25760630,1261,1488,2190,12,106,1149,-1
28550637,1,2,8,8,71,459,-1
170016290,196,11,37,15,144,15,1
79318189,218,236,982,11,84,919,-1
40451905,90,2131,423,11,0,689,-1
16377187,93,140,3844,9,11,689,-1
45179109,65,48,4910,9,53,919,-1
36122397,19,29,186,11,17,689,-1
57571822,11,6,45,11,0,689,-1
55409587,25,46,599,9,85,689,-1
16956916,1000,524,36,9,0,1056,1
34323520,2001,1493,691,9,70,1149,1
68367868,175,16,102,14,0,919,-1
71958158,28,32,1355,10,105,689,-1
42199339,113,104,132,9,15,919,-1
19929134,88,116,2290,9,58,919,-1
19000207,348,127,284,13,0,919,1
85631589,34,18,303,9,160,919,-1
34907301,10,18,28,10,0,689,-1
81804117,537,0,52,14,99,919,1
108003739,1983,479,1211,9,155,780,1
31369463,2350,2187,276,10,27,1149,1
22156104,14,23,183,12,35,689,-1
118669491,218,50,53,13,0,919,1
48128737,233,191,1431,15,39,919,-1
143182440,110,6,0,15,0,919,1
125003452,493,77,14,15,54,986,1
88632223,455,49,62,9,89,1067,1
49954665,83,84,1235,6,0,919,-1
18272084,87,97,3202,14,15,919,-1
37628665,824,745,3663,9,39,1149,-1
40406683,107,86,1092,10,64,919,-1
152717733,280,10,3,14,0,59,1
29167116,89,58,471,11,130,919,-1
69231449,12,8,551,7,55,689,-1
46508581,1011,633,5667,15,139,1149,1
79465570,2557,2332,18,12,155,1149,1
120944526,562,184,1684,9,0,263,1
24511688,649,345,1118,15,37,966,1
55565330,858,295,13,13,124,1049,1
24584522,54,14,46,9,62,689,-1
78741080,550,103,3,15,0,919,1
58448812,19,12,248,10,0,689,-1
100609960,397,12,9,15,0,919,1
15789733,2325,2116,607,10,33,1149,1
76787908,495,324,2447,13,41,919,-1
38421818,125,175,9149,10,25,919,-1
15168449,2001,842,103,12,0,1149,1
113488412,1513,1386,92,13,65,689,1
23163805,57,166,3581,7,10,689,-1
113720278,307,64,74,15,137,919,1
100227350,1740,246,8,14,0,1149,1
18689808,2001,937,86,9,18,1149,1
126187454,123,18,0,11,0,919,1
766658,388,263,9326,8,0,919,-1
34171780,54,33,370,10,14,689,-1
7183942,0,27,294,8,0,459,-1
47422089,6487,6068,1868,13,126,1149,1
47511005,105,157,2137,12,41,919,-1
89150340,744,75,26,10,17,1102,1
124072998,1211,782,2562,14,0,1149,1
30619878,711,168,1,15,85,1140,1
40031184,33,43,322,12,160,689,-1
54574781,1875,1309,4060,12,83,1149,1
37992066,33,33,106,14,131,689,-1
80147748,86,71,854,9,0,919,-1
86692490,8,12,1396,8,57,919,-1
111142638,856,374,3,8,0,1097,1
92556642,33,7,91,15,0,689,-1
125721990,399,53,8,14,144,919,1
70183589,50,143,1081,10,18,919,-1
96184228,1280,291,1042,11,0,919,1
66062767,1775,609,3424,7,0,1149,1
141246309,96,39,199,8,82,900,1
73543968,2913,2819,4673,13,0,486,1
47097617,146,224,3625,10,35,807,1
86066556,1955,1688,0,10,56,1149,1
23584552,90,101,1587,12,15,919,-1
16805547,291,324,3630,8,58,919,-1
27564912,62,32,627,7,0,689,-1
67946565,85,1257,2151,12,10,822,-1
122580976,223,188,1293,14,115,919,1
53655408,1006,826,61,7,107,594,1
125494282,1234,731,219,9,144,1149,1
125466436,398,37,1,14,0,882,1
14453620,6533,6261,1728,11,150,1149,1
15895637,10,11,80,11,0,689,-1
57025298,82,137,7491,10,160,919,-1
90079216,34,14,84,11,0,689,-1
107254846,297,21,0,8,0,866,1
22730886,1868,939,299,15,20,1149,1
25382953,41,84,786,6,30,689,-1
21414800,35,51,345,14,102,689,-1
50222310,23,37,1383,9,0,689,-1
105498783,1119,96,3,14,138,219,1
66247886,45,23,269,13,14,919,-1
14485272,502,343,5240,8,59,919,-1
9045162,6757,6784,4213,7,128,1149,1
98562549,2004,524,1967,11,0,289,1
137910422,1399,266,257,14,42,899,1
51497348,1019,888,2968,15,48,1149,1
91816444,380,10,0,13,0,919,1
33839098,2319,3154,1730,10,141,1149,1
109492760,488,153,173,13,91,919,1
18839998,83,104,1891,12,0,689,-1
78851653,302,86,767,11,129,919,1
15169907,13247,28354,1451,7,66,1379,1
91998038,11,5,24,9,0,919,-1
94650208,647,462,15,8,153,919,1
22228952,53,62,1305,11,42,489,-1
35031687,58,24,545,13,110,891,-1
86439730,628,133,2,6,21,919,1
80319880,1983,1702,60,6,80,1149,1
28645631,71,444,4746,14,155,689,-1
37202013,1719,907,869,10,46,1149,1
18364022,2623,2388,155,15,61,1149,1
62230695,789,1172,2145,15,92,919,1
68143732,64,62,1347,8,48,918,-1
87602032,54,48,72,12,106,919,-1
46254698,57,11,646,9,152,919,-1
27514863,121,283,8428,12,21,919,-1
100223617,1399,374,101,15,0,1149,1
88321965,4934,5009,192,15,27,1170,1
146743556,988,50,171,13,16,233,1
106138287,595,11,4,10,89,11,1
78847972,177,152,1809,6,50,919,1
83081032,21,24,206,9,0,689,-1
153487078,4,0,3,10,11,459,1
107997611,298,5,1,11,27,919,1
23078110,2390,2418,35,14,0,1149,1
104558033,1771,1223,8219,12,151,1149,1
21657927,43,143,212,7,15,689,-1
78814969,321,66,708,10,102,919,1
72126709,63,120,1809,9,111,919,-1
76338146,103,97,833,8,0,919,-1
79873208,140,318,1911,10,142,919,-1
18886127,120,411,8490,9,82,708,-1
89749043,1876,1794,82,8,56,1149,1
103495187,539,102,14,12,10,919,1
59627040,281,221,293,7,48,919,-1
108667162,170,24,0,10,0,919,1
125880326,1642,224,4,10,31,1149,1
28668761,145,247,3761,15,54,919,-1
24995136,2268,2061,61,15,0,1149,1
21311956,232,326,6343,9,109,785,-1
52437025,14605,13505,7691,8,90,1379,-1
134057385,149,96,37,14,0,919,1
96848257,50,5,90,15,0,689,1
94050785,900,355,84,9,0,919,1
47874394,59,93,927,11,84,919,-1
102665017,13,0,4,8,0,689,1
66158322,28,25,148,12,0,689,-1
85759318,81,54,1260,10,0,919,-1
74847079,153,74,1140,12,20,919,-1
102130991,955,6,0,11,151,7,1
63522429,77,28,344,11,0,838,-1
36826057,36,20,158,9,41,919,-1
15223690,231,200,628,8,97,919,-1
157450346,48,0,12,12,93,689,1
67378548,35,44,861,10,39,689,-1
121711854,1970,1802,1022,15,35,1149,1
65005242,233,156,2551,10,0,919,-1
44946691,3952,3731,11,10,0,1149,1
119934977,310,179,38,13,53,1018,1
109646868,2570,2378,1178,10,72,1149,1
90386901,184,64,36,7,58,919,-1
18803066,80,349,641,15,156,689,-1
33141824,71,84,1651,9,74,919,-1
121809317,1262,604,100,15,90,1149,1
18417285,1893,1257,39,12,0,1149,1
64718846,37,45,1589,9,47,689,-1
89970009,1456,1050,330,9,160,1149,1
139229799,255,19,9,14,83,1033,1
66968446,1441,1596,1139,12,146,1149,-1
140059093,77,52,211,6,49,464,1
55113535,224,181,7672,15,99,919,-1
104466871,1643,173,128,15,0,1149,1
39675233,29,26,139,13,46,689,-1
66981580,34,94,1986,9,35,689,-1
116572230,460,102,0,11,0,743,1
96850286,1301,749,8,10,40,1149,1
16558246,15267,15522,6584,15,130,1379,1
102215356,98,1,1,7,0,736,1
131796054,1525,1024,99,14,156,1149,1
91833690,56,40,430,12,0,899,1
59354916,82,82,3868,11,0,919,-1
106711971,968,446,293,13,110,1062,1
79178146,73,13,181,13,0,919,-1
115081713,73,1,38,14,89,689,1
15859290,37,40,917,5,0,689,-1
142408563,159,130,1980,12,136,688,1
156575236,848,146,91,13,137,672,1
69503176,73,55,99,11,0,919,-1
74832252,2812,2558,70,15,135,1149,1
102167131,914,403,1,11,0,1148,1
32068164,73,112,1977,7,0,919,-1
47101175,63,50,1105,13,0,919,-1
166375185,483,36,16,14,114,239,1
117053499,4837,4483,52,8,0,1149,1
101611854,1400,84,3,11,0,174,1
38619629,2160,2112,38,14,83,1149,1
32758616,818,269,2213,13,137,1149,-1
40473803,126,138,995,14,134,919,-1
50728264,4683,4921,519,14,81,1149,1
77463304,33,54,380,8,49,689,-1
76419412,1977,2439,19693,9,126,1149,1
85190011,635,496,247,7,47,1149,-1
103918154,198,41,1,13,88,919,1
51585856,4113,3735,42,15,137,1149,1
94963076,336,138,1576,11,138,919,1
7760272,277,370,650,13,157,919,-1
92419788,1827,1576,694,11,27,1149,1
115503169,817,404,73,15,121,949,1
14134831,774,782,164,10,25,1137,1
103716931,210,58,263,10,0,919,1
81528619,845,385,269,12,140,1125,1
14100363,2781,2540,1386,13,50,1131,1
17451952,2001,485,127,12,65,1149,1
114445253,963,312,18,11,71,1141,1
17848626,5493,5172,714,11,151,1149,1
61973829,6257,6158,2426,12,151,1149,1
127481868,861,94,29,11,0,1107,1
151633280,598,71,22,11,133,1103,1
80885567,2587,2397,1369,10,47,1149,1
17430702,217,127,1629,13,141,919,-1
118317117,66,41,324,14,0,907,1
51962668,135,262,5888,8,27,919,-1
128536633,757,672,28,12,160,1118,1
91990613,28,1,2,13,0,689,-1
134771721,125,21,97,14,0,919,1
89771713,328,45,293,12,20,1149,-1
110483390,477,48,7,9,64,1018,1
15977738,4695,4285,6326,14,106,1149,1
55353795,30,4,0,9,0,689,1
98856940,434,325,204,8,0,919,1
54347992,134,141,1053,7,56,919,-1
14274545,201,179,6263,7,18,919,-1
39431484,1445,734,235,13,62,954,1
30496611,3363,3060,1654,13,30,1149,1
16268411,8500,9943,9461,12,105,1149,1
80567698,69,56,2165,9,99,695,-1
33390253,28,56,141,6,0,689,-1
91106989,1409,592,96,7,156,1149,1
82336869,80,82,96,12,156,689,-1
83857242,132,0,176,12,0,919,1
41052930,391,314,1071,7,94,919,-1
24178345,4657,4356,1777,14,86,1149,1
24800456,221,143,2330,12,63,919,-1
83396885,100,102,1826,15,35,760,-1
28937513,180,141,640,4,21,919,-1
72070286,32,67,1566,8,0,919,-1
170650455,40,1,16,9,102,230,1
101551299,104,7,2,12,0,919,1
101232342,533,12,2,13,0,889,1
88323949,1990,1188,17,10,70,1149,1
155313470,1238,701,45,14,0,179,1
148617751,727,283,660,7,0,151,1
137156047,1731,176,159,12,69,1149,1
77765973,93,41,848,15,157,919,-1
12739862,286,366,5567,10,87,919,-1
154620446,162,63,8,8,21,395,1
91955989,3,0,224,9,0,689,-1
74591948,39936,39800,1565,9,61,1379,1
15127489,147,142,1688,10,23,919,-1
111415178,660,391,13118,7,26,919,1
88927024,27,22,133,8,36,689,-1
43950382,15644,14376,65,10,64,1379,1
16125042,2557,85844,1903,9,47,1149,1
60974055,240,138,459,15,0,919,-1
22118295,24205,23474,1100,11,88,1379,1
99858535,957,796,13,13,61,1114,1
160898516,440,11,3,9,0,948,1
69786979,7712,7063,471,9,61,1149,1
30679225,382,230,4935,11,0,919,-1
79202573,383,224,365,12,0,919,1
87095369,201,203,5022,6,60,972,-1
16345634,602,393,108,14,32,919,1
63141525,3571,3246,658,12,42,1149,1
44237984,589,417,307,11,60,751,1
110704683,959,219,4601,13,20,1148,1
114831647,249,9,0,13,14,919,1
26103885,282,124,2416,5,110,919,-1
674433,35067,35122,24670,12,105,1379,-1
113251141,336,68,8149,12,0,919,1
84331765,1599,787,2,12,0,1149,1
26732476,12,14,34,11,0,689,-1
25455332,20826,27488,1970,9,84,1379,1
84151129,436,1943,8221,15,106,1149,-1
21842357,538,6507,4926,7,40,919,-1
101441725,459,53,6,7,24,147,1
43415063,1037,1245,119,14,63,1031,1
160503432,756,118,9,10,13,19,1
43103460,98,194,1074,12,46,919,-1
24467622,1807,974,80,7,57,1149,1
86751935,11,9,52,11,13,689,-1
24174722,1077,5075,960,7,78,1149,-1
89472940,251,45,224,12,158,919,1
37076293,654,661,3714,13,70,919,1
36319409,109,84,2575,15,0,689,-1
15662330,168,153,3306,5,85,919,-1
20522531,11467,10870,2242,14,40,1379,1
152884363,899,373,161,15,49,604,1
47411569,6030,5481,1071,13,12,1149,1
59878852,2744,2759,1361,14,0,1149,-1
12691382,16463,15311,570,9,95,1379,1
81550682,9,4,245,9,94,689,-1
112279996,2001,1164,140,15,118,1149,1
79690041,224,70,166,11,0,916,-1
20794896,902,79,3,7,82,919,1
141480708,496,78,17,15,0,1065,1
51685961,3190,2902,796,4,145,1149,1
75535428,41,91,2231,12,158,689,-1
86118218,188,107,151,7,29,919,1
48634723,34,21,35,11,78,689,-1
21286522,96,106,2287,6,14,919,-1
99020247,966,783,43,11,39,1021,1
105718201,132,59,0,9,0,919,1
81758509,99,70,264,9,0,919,-1
45952283,445,367,497,10,95,755,1
87424832,3,2,74,6,54,689,-1
160327904,1058,369,9,15,0,1148,1
80627136,20,0,646,8,0,689,-1
96533314,692,231,62,13,142,919,1
7082702,20300,20006,1640,12,147,1379,1
91279525,552,38,309,15,156,7,1
79012221,1431,1015,244,7,27,1149,-1
67564604,29,123,517,10,72,689,-1
68905815,44,34,371,15,44,919,-1
120458917,2,0,9,8,54,459,1
64774222,47,37,630,6,159,689,-1
83984221,8,8,19,9,0,689,-1
16376251,45,1047,2350,15,83,689,-1
82311835,4,3,30,5,0,689,-1
77897411,11,272,1046,9,0,689,-1
66254334,1885,377,25,13,124,1149,1
21055396,113,6645,4636,8,12,919,-1
120904661,425,268,90,13,0,919,1
102415844,38,19,76,7,82,878,1
61696560,168,20850,2384,13,0,919,-1
119321549,1003,219,107,13,33,29,1
7946942,1830,1623,1228,5,14,1149,1
120720285,865,471,8,15,140,1128,1
59339433,27,9,30,15,0,689,-1
70183114,4405,4004,2215,10,99,659,1
52611002,12,22,237,15,0,689,-1
29351679,946,4195,2383,10,145,919,-1
76901738,17300,16982,478,10,110,1379,1
30015813,747,571,4111,11,56,919,-1
131863930,638,46,3,10,59,42,1
44832582,91,42,495,12,0,919,-1
65369638,192,171,6838,11,49,919,-1
47358299,175,100,826,8,10,919,-1
20984345,244,44,1668,11,0,919,-1
130798206,111,26,127,11,0,919,1
63743771,41,30,282,6,0,689,-1
755113,309,3663,12927,9,120,1149,-1
70094509,28,19,216,7,0,689,-1
38488112,4538,5042,292,11,62,1149,1
42373011,17,23,104,14,26,689,-1
1144181,659,699,2960,6,21,919,-1
59716352,130,51,754,5,60,919,-1
15790524,290,306,7096,12,159,919,-1
95289676,659,364,332,14,139,1075,1
76293065,263,149,381,8,76,919,1
100387449,3973,3709,6982,12,143,1149,1
24902295,91,7,41,11,0,919,-1
58493098,671,110,23,11,145,953,1
150749454,446,59,15,9,60,943,1
29812608,91,126,1920,12,19,919,-1
112795078,231,27,14,14,0,919,1
51608310,99,57,516,11,18,919,-1
9161202,3443,3837,18004,9,111,1149,-1
110572620,2353,261,33,9,29,1149,1
63114213,72,58,354,8,0,689,-1
15883882,133,89,1897,10,0,919,-1
6184502,289,2099,1842,3,92,919,-1
31705498,80,99,860,4,21,919,-1
29383990,219,182,1158,13,0,919,-1
154021736,268,3,3,11,77,139,1
29978737,1155,1001,224,13,104,1149,1
15014107,1416,1445,2067,14,58,1149,1
32438430,619,460,2226,10,157,1149,-1
39588911,816,294,54,14,43,919,1
96702286,645,144,6,10,14,1108,1
28009717,50,27,165,15,84,919,-1
109084868,1269,860,70,13,131,1099,1
42727761,64,77,1234,5,96,689,-1
22737459,361,610,9503,12,103,919,-1
145210970,936,144,23,12,32,1133,1
147700887,173,48,86,10,160,879,1
52450166,273,32,794,9,97,919,1
105648844,1617,1351,24,15,0,1149,1
34850997,5217,8752,2344,12,154,1149,1
38324256,4603,4185,1431,8,23,1149,1
94790378,2001,1227,93,5,0,1149,1
84381900,638,432,36,13,30,919,1
59013870,22,8,113,7,11,689,-1
63346036,1553,1487,3934,9,100,1149,1
20707816,89,82,120,15,30,689,-1
94734817,1429,392,1393,11,0,594,1
45286934,339,366,1273,8,160,919,-1
88703778,1142,1186,141,12,86,1149,1
141720379,479,342,242,10,139,919,1
13458112,7841,8724,1072,10,38,1149,1
6446162,49,59,3254,9,0,689,-1
55729178,157,595,5436,14,5,919,-1
69970116,54,8,63,13,0,689,-1
41800181,20,30,794,13,13,689,-1
135104550,410,29,0,14,0,919,1
66432211,83,131,6020,7,22,919,-1
137976481,203,55,200,8,122,919,1
16907448,86,72,9103,7,64,689,-1
17798336,6215,6027,353,8,95,1149,1
55075580,1999,1800,253,10,55,1149,1
3846181,33,34,281,7,6,689,-1
36359658,1133,755,1595,9,150,1149,1
27425525,92,100,2015,9,37,919,-1
133092075,140,61,167,12,97,919,1
89760288,5,1,3,9,0,689,-1
48374521,4055,4036,822,13,120,1149,1
17165447,6173,6127,426,11,68,1149,1
147267426,196,2,18,15,63,1138,1
29202964,1273,1031,1229,10,135,1149,1
39248857,429,604,252,9,98,919,1
101856829,1628,486,7,13,152,1149,1
134609719,1823,639,106,14,39,389,1
20922440,105,57,678,14,82,919,-1
32365226,34,44,31,11,0,689,-1
22407783,1178,603,2635,9,16,919,-1
127747425,129,17,45,7,148,744,1
34778459,45,29,320,9,0,689,-1
68817565,495,310,555,12,0,919,-1
96858324,578,15,7,12,83,8,1
50046492,521,719,15193,8,117,919,-1
91030822,296,144,72,11,0,919,1
123984737,838,546,283,8,0,919,1
54166222,647,706,1986,15,109,919,1
58401533,29,16,611,10,0,689,-1
83779941,79,112,1904,12,121,919,-1
88658116,21,4,91,14,90,689,-1
65976768,1746,966,269,8,43,1149,1
30232717,8,5,102,8,0,689,-1
56009882,29,11,34,10,0,689,-1
35643196,53,32,277,7,35,919,-1
96641319,689,534,58,8,67,1011,1
53277941,27,3,5,15,0,689,-1
92418801,23,3,17,13,0,689,-1
84335199,0,0,29,11,79,459,-1
87058484,1622,1641,4216,8,143,1149,1
98951521,434,254,39,15,23,930,1
16483818,3991,3628,1347,14,0,1149,1
68248868,53,12,328,10,0,919,-1
23357335,49,49,198,9,62,919,-1
128451871,2,0,2,10,0,459,1
22308563,146,128,4437,7,0,919,-1
44304625,5229,6115,615,15,53,1172,-1
63660431,87,124,2027,12,42,919,-1
88732012,2225,2023,1063,12,63,1149,1
47419970,68,57,1188,10,11,689,-1
20923790,653,207,3937,7,93,919,-1
96346976,2001,1135,3,13,0,1149,1
48598969,523,563,9496,8,34,919,-1
60056446,37,44,959,10,12,689,-1
141260278,261,144,26,10,63,919,1
124549749,649,241,328,14,146,954,1
56409199,179,179,2614,6,98,919,-1
29960349,31,5,9,15,11,689,-1
71769026,326,244,6555,10,95,919,-1
16568116,51,1415,1120,11,59,689,-1
162501065,280,77,77,9,125,1028,1
19515034,2824,2640,693,9,70,1149,1
100197431,1092,405,282,14,105,1062,1
11488822,167,92,130,9,58,27,1
108129083,1294,543,246,7,135,1149,1
51155203,142,121,316,12,94,919,-1
104734482,49,0,0,8,0,913,1
106534221,169,11,4,13,0,59,1
90458184,2830,2945,1990,15,98,1149,1
38593221,224,118,618,9,0,919,-1
44861394,144,140,3479,9,100,919,-1
81974694,1345,860,111,13,58,1149,1
33499183,2518,3131,2986,14,124,1149,1
96289253,1554,140,4,14,0,1149,1
168823253,318,53,0,10,105,63,1
107439609,683,46,62,14,0,663,1
14546963,1160,680,92,10,21,1149,1
15318882,2483,2257,790,11,86,1149,1
71230135,55,56,1014,11,24,919,-1
86124228,45,57,498,13,0,689,-1
84489306,2788,2648,1546,8,63,1149,1
43104858,96,51,1297,10,121,919,-1
67366135,51,40,23,8,0,689,-1
14080704,24098,33142,17499,14,119,1379,-1
42647148,42,37,310,7,0,689,-1
28739265,2418,4678,3625,5,116,1149,1
153123171,431,9,25,8,53,885,1
105471750,295,38,8,12,63,1017,1
45980501,61,119,1274,8,0,689,-1
77205668,0,3,335,13,0,459,-1
21377350,2000,1687,11,10,90,1149,1
77134432,3583,3256,454,11,124,1149,1
